Feature1_Cat,Feature2_Cat,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Target1,Target2
Low,C,4.0,7.0,5.0,3.0,5.0,4.0,5.0,5.0,0,0
Low,A,7.0,5.0,3.0,9.0,5.0,1.0,3.0,4.0,1,1
Medium,A,8.0,8.0,6.0,5.0,3.0,1.0,2.0,3.0,1,1
Low,A,8.0,4.0,10.0,2.0,1.0,8.0,4.0,3.0,0,1
Medium,A,8.0,5.0,7.0,6.0,3.0,4.0,2.0,0.0,0,0
Low,B,4.0,3.0,0.0,7.0,6.0,5.0,4.0,11.0,0,0
Low,A,5.0,4.0,10.0,4.0,6.0,4.0,3.0,8.0,0,0
Low,A,5.0,7.0,4.0,12.0,2.0,5.0,1.0,5.0,1,1
Medium,A,4.0,6.0,6.0,4.0,3.0,2.0,7.0,8.0,1,1
Low,A,11.0,9.0,7.0,3.0,1.0,2.0,4.0,2.0,0,1
Medium,B,5.0,1.0,11.0,5.0,3.0,2.0,4.0,4.0,0,0
Medium,C,4.0,2.0,4.0,6.0,4.0,3.0,2.0,3.0,0,0
Medium,B,10.0,7.0,16.0,2.0,1.0,6.0,1.0,2.0,0,1
Medium,A,6.0,8.0,9.0,2.0,0.0,7.0,2.0,2.0,0,1
Medium,A,3.0,5.0,6.0,4.0,3.0,6.0,3.0,5.0,1,1
Medium,A,8.0,11.0,17.0,7.0,4.0,2.0,3.0,1.0,0,1
Medium,B,2.0,12.0,1.0,18.0,1.0,1.0,8.0,6.0,1,0
Low,C,8.0,6.0,8.0,4.0,11.0,6.0,3.0,3.0,0,0
Low,A,5.0,10.0,9.0,4.0,2.0,5.0,2.0,0.0,0,1
Medium,A,0.0,5.0,4.0,8.0,4.0,4.0,3.0,6.0,1,1
Medium,A,0.0,6.0,1.0,18.0,2.0,3.0,3.0,5.0,1,0
Medium,A,1.0,6.0,0.0,11.0,2.0,0.0,8.0,12.0,1,0
Low,B,4.0,2.0,6.0,3.0,4.0,6.0,3.0,6.0,0,0
Medium,A,6.0,7.0,5.0,1.0,4.0,7.0,2.0,1.0,0,1
Medium,A,6.0,6.0,8.0,9.0,3.0,4.0,2.0,8.0,1,1
Low,A,9.0,14.0,21.0,3.0,4.0,5.0,3.0,1.0,0,1
Medium,A,8.0,12.0,17.0,0.0,1.0,3.0,1.0,1.0,0,1
Low,B,8.0,3.0,7.0,3.0,2.0,6.0,5.0,2.0,0,1
Low,A,6.0,8.0,18.0,2.0,1.0,4.0,4.0,0.0,0,1
Low,A,12.0,5.0,11.0,1.0,4.0,8.0,1.0,0.0,0,1
Low,A,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,0,0
Low,B,3.0,8.0,5.0,5.0,7.0,6.0,6.0,2.0,0,0
Medium,A,4.0,7.0,4.0,8.0,0.0,2.0,5.0,4.0,1,1
Low,A,2.0,6.0,7.0,5.0,9.0,2.0,0.0,2.0,0,0
Medium,B,8.0,7.0,8.0,2.0,6.0,11.0,5.0,6.0,0,0
Low,C,1.0,3.0,2.0,2.0,2.0,6.0,8.0,5.0,0,0
Medium,A,0.0,4.0,0.0,9.0,3.0,5.0,7.0,7.0,1,0
Medium,A,8.0,11.0,13.0,2.0,5.0,4.0,1.0,1.0,0,1
Low,A,9.0,7.0,5.0,3.0,1.0,5.0,2.0,0.0,0,1
High,A,0.0,5.0,0.0,17.0,2.0,5.0,2.0,10.0,1,0
Low,A,8.0,5.0,8.0,0.0,5.0,7.0,3.0,2.0,0,1
Low,B,5.0,5.0,7.0,6.0,3.0,1.0,6.0,3.0,0,0
Low,B,6.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,0,0
High,A,10.0,5.0,8.0,4.0,0.0,11.0,3.0,2.0,0,1
Medium,A,1.0,10.0,1.0,19.0,5.0,2.0,4.0,6.0,1,0
High,A,0.0,7.0,0.0,10.0,3.0,5.0,3.0,6.0,1,0
Medium,B,9.0,13.0,12.0,0.0,2.0,4.0,2.0,1.0,0,1
Low,A,10.0,8.0,12.0,1.0,1.0,4.0,4.0,2.0,0,1
Medium,B,10.0,5.0,3.0,7.0,4.0,6.0,5.0,5.0,0,0
High,A,7.0,4.0,3.0,5.0,6.0,2.0,7.0,1.0,1,1
Medium,A,3.0,5.0,1.0,8.0,3.0,1.0,7.0,7.0,1,1
Medium,A,2.0,5.0,4.0,5.0,4.0,8.0,7.0,4.0,1,1
Low,A,1.0,5.0,0.0,12.0,4.0,5.0,3.0,4.0,1,0
Medium,A,3.0,6.0,9.0,6.0,3.0,3.0,3.0,8.0,1,1
Low,A,6.0,9.0,7.0,0.0,4.0,11.0,3.0,2.0,0,1
Medium,A,10.0,11.0,9.0,3.0,2.0,9.0,2.0,0.0,0,1
Medium,B,2.0,4.0,6.0,6.0,6.0,4.0,10.0,5.0,0,0
Medium,A,9.0,7.0,3.0,3.0,3.0,5.0,2.0,3.0,0,0
Medium,A,8.0,6.0,10.0,2.0,3.0,1.0,3.0,4.0,0,1
Medium,A,6.0,8.0,9.0,11.0,4.0,6.0,2.0,6.0,1,1
Low,A,9.0,12.0,6.0,3.0,6.0,7.0,3.0,1.0,0,1
Low,A,13.0,10.0,6.0,4.0,3.0,8.0,0.0,0.0,0,1
High,A,5.0,0.0,4.0,2.0,4.0,6.0,4.0,6.0,0,0
Medium,A,4.0,11.0,7.0,5.0,2.0,4.0,3.0,4.0,1,1
Low,A,4.0,8.0,11.0,4.0,5.0,6.0,1.0,1.0,0,1
Medium,A,0.0,5.0,0.0,10.0,2.0,5.0,7.0,10.0,1,0
Medium,A,2.0,11.0,14.0,2.0,0.0,6.0,6.0,1.0,0,1
Low,B,4.0,8.0,7.0,3.0,9.0,13.0,3.0,6.0,0,0
Medium,B,4.0,2.0,4.0,4.0,8.0,6.0,7.0,5.0,0,0
Low,B,13.0,10.0,8.0,1.0,2.0,6.0,4.0,1.0,0,1
Medium,A,8.0,5.0,9.0,2.0,2.0,3.0,3.0,0.0,0,1
Medium,B,5.0,13.0,4.0,5.0,1.0,5.0,5.0,5.0,1,1
Low,A,3.0,2.0,6.0,3.0,6.0,6.0,3.0,5.0,0,0
Medium,A,3.0,0.0,4.0,10.0,2.0,4.0,3.0,4.0,0,0
Low,B,9.0,6.0,1.0,3.0,6.0,7.0,3.0,5.0,0,0
Low,A,5.0,5.0,3.0,7.0,5.0,4.0,5.0,7.0,0,0
High,A,11.0,8.0,2.0,3.0,3.0,5.0,2.0,3.0,1,1
Low,B,5.0,15.0,6.0,8.0,4.0,0.0,5.0,4.0,0,0
High,A,0.0,6.0,0.0,12.0,6.0,2.0,4.0,5.0,1,0
Low,C,1.0,5.0,3.0,4.0,2.0,5.0,6.0,5.0,0,0
Medium,A,11.0,6.0,16.0,3.0,1.0,4.0,3.0,2.0,0,1
Low,A,8.0,7.0,2.0,7.0,4.0,3.0,3.0,5.0,0,0
Medium,A,5.0,13.0,12.0,0.0,2.0,2.0,5.0,1.0,0,1
Medium,A,4.0,5.0,11.0,1.0,2.0,6.0,5.0,1.0,0,1
Low,A,7.0,11.0,14.0,0.0,2.0,5.0,1.0,0.0,0,1
Medium,A,4.0,5.0,10.0,0.0,0.0,2.0,3.0,1.0,0,1
Low,B,6.0,2.0,3.0,5.0,7.0,4.0,3.0,3.0,0,0
Low,B,7.0,11.0,14.0,3.0,1.0,3.0,2.0,2.0,0,1
Low,B,6.0,6.0,3.0,3.0,4.0,4.0,11.0,5.0,0,0
Low,A,8.0,9.0,2.0,5.0,1.0,8.0,3.0,5.0,1,1
Low,B,6.0,3.0,1.0,4.0,4.0,6.0,2.0,4.0,0,0
Medium,C,6.0,7.0,3.0,6.0,6.0,7.0,4.0,1.0,0,0
Medium,A,5.0,10.0,3.0,5.0,2.0,4.0,1.0,5.0,1,1
Low,B,2.0,3.0,2.0,4.0,4.0,2.0,0.0,6.0,0,0
Medium,B,6.0,3.0,2.0,7.0,5.0,5.0,4.0,2.0,0,0
Medium,B,2.0,4.0,4.0,6.0,10.0,1.0,3.0,7.0,0,0
Low,A,10.0,10.0,18.0,4.0,1.0,6.0,4.0,0.0,0,1
Medium,B,5.0,8.0,4.0,4.0,5.0,6.0,5.0,9.0,0,0
Low,C,5.0,10.0,3.0,4.0,4.0,4.0,1.0,4.0,0,0
Low,B,7.0,2.0,7.0,5.0,5.0,4.0,6.0,9.0,0,0
High,A,8.0,6.0,8.0,2.0,1.0,2.0,3.0,1.0,0,1
Medium,A,3.0,8.0,5.0,10.0,2.0,3.0,4.0,6.0,1,1
Low,A,5.0,7.0,10.0,7.0,6.0,6.0,5.0,8.0,0,0
Medium,A,7.0,15.0,14.0,2.0,1.0,7.0,3.0,2.0,0,1
Low,A,3.0,6.0,7.0,2.0,4.0,3.0,4.0,6.0,0,0
Medium,A,9.0,12.0,11.0,7.0,2.0,6.0,1.0,9.0,1,1
Medium,A,7.0,11.0,3.0,6.0,2.0,2.0,4.0,6.0,1,1
Low,A,11.0,7.0,10.0,2.0,2.0,4.0,2.0,2.0,0,1
High,A,2.0,3.0,7.0,6.0,2.0,4.0,5.0,1.0,1,1
Low,B,7.0,4.0,4.0,5.0,4.0,1.0,3.0,4.0,0,0
Medium,A,10.0,8.0,11.0,1.0,2.0,9.0,1.0,1.0,0,1
High,A,2.0,8.0,0.0,9.0,4.0,5.0,7.0,7.0,1,0
Low,A,8.0,4.0,10.0,0.0,0.0,5.0,3.0,2.0,0,1
Medium,A,8.0,6.0,1.0,5.0,2.0,5.0,2.0,9.0,1,1
Medium,A,6.0,9.0,8.0,2.0,1.0,8.0,2.0,2.0,0,1
Low,A,11.0,13.0,13.0,3.0,1.0,4.0,4.0,2.0,0,1
Low,A,9.0,6.0,6.0,1.0,4.0,6.0,4.0,1.0,0,1
High,B,3.0,6.0,16.0,2.0,2.0,7.0,4.0,1.0,0,1
Medium,B,4.0,4.0,6.0,2.0,7.0,5.0,5.0,6.0,0,0
Medium,B,4.0,6.0,4.0,7.0,4.0,6.0,6.0,8.0,0,0
Medium,B,0.0,2.0,0.0,10.0,3.0,8.0,3.0,8.0,1,0
Low,C,3.0,3.0,3.0,9.0,4.0,10.0,1.0,3.0,0,0
Low,B,9.0,4.0,4.0,3.0,11.0,4.0,6.0,9.0,0,0
Low,C,3.0,2.0,3.0,3.0,4.0,6.0,4.0,2.0,0,0
Medium,A,4.0,6.0,5.0,7.0,3.0,8.0,7.0,5.0,0,0
Low,A,4.0,7.0,7.0,12.0,2.0,5.0,5.0,7.0,1,1
Low,B,2.0,4.0,4.0,8.0,4.0,5.0,5.0,5.0,0,0
Medium,B,6.0,5.0,3.0,7.0,7.0,5.0,2.0,4.0,0,0
Medium,C,6.0,4.0,5.0,5.0,15.0,5.0,9.0,6.0,0,0
Medium,B,3.0,7.0,7.0,6.0,5.0,4.0,4.0,3.0,0,0
Medium,B,5.0,5.0,2.0,8.0,5.0,7.0,7.0,8.0,0,0
Medium,D,5.0,7.0,4.0,7.0,4.0,9.0,3.0,5.0,0,0
Medium,A,6.0,5.0,4.0,5.0,6.0,4.0,5.0,10.0,0,0
Low,B,4.0,3.0,4.0,3.0,5.0,4.0,12.0,6.0,0,0
High,C,3.0,7.0,7.0,5.0,5.0,2.0,5.0,8.0,0,0
Low,B,4.0,4.0,5.0,3.0,2.0,2.0,3.0,5.0,0,0
Low,B,10.0,10.0,6.0,3.0,0.0,4.0,4.0,5.0,1,1
Medium,A,1.0,9.0,5.0,7.0,2.0,5.0,3.0,3.0,1,1
Low,B,5.0,6.0,3.0,8.0,5.0,5.0,10.0,2.0,0,0
Medium,B,6.0,8.0,5.0,2.0,2.0,3.0,11.0,2.0,0,0
Medium,A,7.0,6.0,11.0,2.0,1.0,3.0,3.0,0.0,0,1
Medium,A,9.0,11.0,11.0,6.0,3.0,6.0,5.0,1.0,0,1
Low,B,7.0,3.0,2.0,6.0,7.0,5.0,8.0,5.0,0,0
High,A,12.0,9.0,13.0,1.0,1.0,11.0,3.0,1.0,0,1
High,B,6.0,8.0,4.0,7.0,4.0,5.0,8.0,6.0,0,0
Medium,A,12.0,13.0,18.0,0.0,1.0,6.0,1.0,4.0,0,1
Medium,B,1.0,8.0,0.0,9.0,3.0,4.0,0.0,3.0,1,0
High,B,4.0,2.0,4.0,4.0,6.0,5.0,3.0,2.0,0,0
Medium,C,5.0,4.0,5.0,3.0,5.0,5.0,5.0,8.0,0,0
Medium,A,0.0,2.0,0.0,8.0,1.0,5.0,6.0,5.0,1,0
Medium,B,4.0,9.0,5.0,9.0,2.0,3.0,7.0,4.0,1,1
Medium,B,4.0,5.0,7.0,4.0,5.0,6.0,4.0,3.0,0,0
High,A,2.0,8.0,4.0,8.0,4.0,5.0,4.0,3.0,1,1
Low,A,2.0,11.0,0.0,15.0,5.0,4.0,6.0,14.0,1,0
Medium,A,8.0,10.0,12.0,2.0,0.0,8.0,3.0,1.0,0,1
Medium,A,2.0,13.0,6.0,7.0,1.0,8.0,2.0,3.0,1,1
High,A,1.0,9.0,0.0,7.0,2.0,3.0,7.0,13.0,1,0
Low,D,5.0,9.0,3.0,4.0,4.0,4.0,6.0,6.0,0,0
Medium,B,6.0,5.0,5.0,4.0,4.0,4.0,7.0,4.0,0,0
Medium,A,11.0,8.0,12.0,3.0,1.0,7.0,2.0,3.0,0,1
Low,B,8.0,6.0,5.0,7.0,4.0,5.0,5.0,7.0,0,0
Medium,B,2.0,1.0,5.0,3.0,4.0,6.0,2.0,7.0,0,0
High,B,6.0,10.0,6.0,7.0,3.0,7.0,2.0,3.0,1,1
Medium,A,10.0,4.0,13.0,1.0,4.0,4.0,3.0,2.0,0,1
Low,B,3.0,4.0,5.0,6.0,2.0,2.0,7.0,2.0,0,0
Low,A,8.0,5.0,4.0,6.0,7.0,5.0,2.0,3.0,0,0
Medium,A,0.0,9.0,0.0,7.0,4.0,7.0,6.0,9.0,1,0
Medium,A,5.0,9.0,4.0,0.0,3.0,6.0,5.0,0.0,0,1
Low,A,16.0,8.0,8.0,1.0,1.0,5.0,6.0,2.0,0,1
Low,A,4.0,2.0,5.0,3.0,4.0,3.0,7.0,4.0,0,0
Low,C,14.0,6.0,5.0,5.0,6.0,4.0,5.0,11.0,0,0
Medium,B,4.0,3.0,5.0,8.0,4.0,3.0,2.0,5.0,0,0
Medium,A,11.0,6.0,7.0,5.0,3.0,10.0,3.0,4.0,1,1
Low,B,5.0,6.0,6.0,9.0,7.0,10.0,1.0,5.0,0,0
Low,C,4.0,3.0,7.0,3.0,6.0,5.0,5.0,4.0,0,0
Medium,B,2.0,6.0,2.0,8.0,7.0,8.0,11.0,6.0,0,0
Medium,A,4.0,8.0,6.0,13.0,3.0,3.0,3.0,4.0,1,1
Medium,A,9.0,9.0,7.0,3.0,0.0,5.0,1.0,2.0,0,1
Low,B,4.0,2.0,6.0,8.0,6.0,5.0,5.0,3.0,0,0
Medium,B,3.0,3.0,4.0,3.0,7.0,6.0,1.0,8.0,0,0
Medium,B,5.0,4.0,6.0,2.0,2.0,5.0,4.0,6.0,0,0
Medium,A,8.0,8.0,11.0,5.0,2.0,5.0,6.0,1.0,1,1
Low,A,9.0,4.0,11.0,0.0,5.0,6.0,3.0,2.0,0,1
Low,A,3.0,10.0,6.0,7.0,4.0,2.0,7.0,3.0,1,1
Low,B,4.0,2.0,5.0,1.0,8.0,7.0,2.0,5.0,0,0
Medium,B,4.0,5.0,7.0,10.0,7.0,2.0,5.0,4.0,0,0
Medium,A,10.0,9.0,10.0,5.0,1.0,4.0,0.0,1.0,0,1
Medium,B,18.0,9.0,10.0,2.0,2.0,7.0,4.0,1.0,0,1
Low,B,3.0,4.0,5.0,7.0,5.0,8.0,3.0,9.0,0,0
Low,A,3.0,10.0,5.0,5.0,2.0,4.0,4.0,10.0,1,1
Medium,B,11.0,8.0,11.0,2.0,3.0,2.0,5.0,0.0,0,1
Low,A,7.0,7.0,13.0,3.0,3.0,5.0,2.0,1.0,0,1
Low,B,2.0,10.0,4.0,1.0,3.0,4.0,11.0,4.0,0,0
Medium,A,2.0,8.0,7.0,4.0,3.0,7.0,2.0,4.0,0,1
Low,B,0.0,5.0,0.0,12.0,1.0,3.0,7.0,7.0,1,0
Medium,D,3.0,7.0,5.0,3.0,7.0,7.0,5.0,9.0,0,0
Medium,A,5.0,7.0,4.0,10.0,4.0,4.0,2.0,9.0,1,1
Medium,A,11.0,6.0,11.0,3.0,1.0,6.0,3.0,2.0,0,1
Low,B,3.0,6.0,1.0,6.0,8.0,9.0,7.0,1.0,0,0
Medium,A,5.0,12.0,14.0,5.0,3.0,3.0,6.0,2.0,1,1
Low,A,13.0,8.0,11.0,3.0,1.0,5.0,7.0,0.0,0,1
Medium,A,2.0,4.0,2.0,6.0,2.0,5.0,2.0,4.0,1,1
Medium,B,1.0,5.0,3.0,4.0,4.0,6.0,6.0,7.0,0,0
Low,B,8.0,4.0,8.0,6.0,4.0,8.0,6.0,4.0,0,0
Low,B,2.0,12.0,2.0,5.0,6.0,4.0,3.0,3.0,0,0
Low,B,8.0,1.0,2.0,7.0,8.0,8.0,9.0,3.0,0,0
Low,A,5.0,4.0,8.0,7.0,5.0,6.0,7.0,4.0,0,0
Medium,A,4.0,8.0,10.0,2.0,1.0,9.0,3.0,3.0,0,1
Low,C,4.0,10.0,5.0,8.0,3.0,5.0,8.0,5.0,0,0
Medium,B,6.0,7.0,5.0,4.0,2.0,5.0,3.0,6.0,1,1
Low,A,11.0,9.0,7.0,0.0,4.0,4.0,1.0,1.0,0,1
Low,A,12.0,7.0,7.0,5.0,2.0,2.0,2.0,0.0,0,1
Medium,A,6.0,7.0,17.0,0.0,3.0,9.0,6.0,1.0,0,1
Low,C,10.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,0,0
Low,B,6.0,7.0,3.0,2.0,6.0,5.0,4.0,3.0,0,0
Medium,B,0.0,11.0,0.0,10.0,2.0,9.0,3.0,13.0,1,0
Medium,A,0.0,7.0,1.0,9.0,2.0,8.0,4.0,12.0,1,0
Low,A,2.0,9.0,5.0,3.0,1.0,2.0,1.0,3.0,1,1
Low,A,6.0,11.0,3.0,10.0,2.0,6.0,8.0,4.0,1,1
Low,A,3.0,5.0,7.0,7.0,4.0,7.0,4.0,8.0,0,0
Medium,A,7.0,0.0,9.0,7.0,7.0,5.0,4.0,4.0,0,0
Low,C,5.0,7.0,5.0,5.0,11.0,4.0,4.0,4.0,0,0
High,A,3.0,5.0,4.0,7.0,5.0,6.0,4.0,5.0,1,1
Low,A,0.0,11.0,0.0,8.0,3.0,5.0,3.0,8.0,1,0
Low,A,10.0,11.0,15.0,0.0,2.0,7.0,3.0,1.0,0,1
Low,B,4.0,7.0,5.0,5.0,8.0,1.0,3.0,5.0,0,0
High,A,14.0,9.0,10.0,3.0,2.0,5.0,2.0,0.0,0,1
Low,B,4.0,6.0,6.0,6.0,4.0,7.0,4.0,3.0,0,0
High,A,0.0,7.0,1.0,9.0,0.0,4.0,6.0,9.0,1,0
Low,B,2.0,5.0,4.0,2.0,7.0,2.0,6.0,4.0,0,0
Medium,C,4.0,7.0,10.0,3.0,4.0,2.0,3.0,4.0,0,0
Medium,A,5.0,7.0,4.0,7.0,2.0,3.0,5.0,5.0,1,1
Low,B,1.0,4.0,4.0,3.0,10.0,6.0,3.0,6.0,0,0
High,A,2.0,9.0,3.0,7.0,3.0,7.0,3.0,5.0,1,1
Low,B,3.0,7.0,12.0,4.0,6.0,9.0,3.0,8.0,0,0
Low,B,5.0,6.0,7.0,8.0,7.0,5.0,7.0,2.0,0,0
Medium,A,11.0,4.0,12.0,3.0,2.0,2.0,4.0,1.0,0,1
Low,B,6.0,1.0,3.0,4.0,5.0,5.0,3.0,2.0,0,0
Medium,A,7.0,7.0,3.0,5.0,2.0,6.0,7.0,4.0,1,1
Low,A,4.0,8.0,6.0,7.0,1.0,5.0,10.0,8.0,1,1
Medium,B,4.0,9.0,5.0,9.0,1.0,4.0,2.0,3.0,1,1
Medium,A,6.0,10.0,4.0,8.0,3.0,3.0,8.0,6.0,1,1
Medium,A,5.0,8.0,7.0,1.0,3.0,7.0,7.0,0.0,0,1
Medium,B,4.0,9.0,6.0,7.0,4.0,1.0,2.0,2.0,1,1
Low,A,8.0,13.0,16.0,2.0,4.0,6.0,3.0,1.0,0,1
Low,A,1.0,12.0,1.0,9.0,4.0,2.0,4.0,10.0,1,0
Medium,B,5.0,10.0,17.0,1.0,2.0,6.0,1.0,1.0,0,1
High,A,0.0,9.0,0.0,10.0,0.0,5.0,1.0,11.0,1,0
